month,day,births,above/below median,mediannum
250,2,14,194510,above,1
251,6,28,194519,above,1
252,6,17,194544,above,1
253,11,18,194612,above,1
254,10,13,194635,above,1
255,7,3,194777,above,1
256,3,3,194871,above,1
257,12,20,195081,above,1
258,6,29,195266,above,1
259,6,25,195637,above,1
260,10,12,195737,above,1
261,6,24,195901,above,1
262,9,1,196333,above,1
263,10,15,196778,above,1
264,12,15,196832,above,1
265,7,13,197296,above,1
266,10,14,197362,above,1
267,12,18,197455,above,1
268,7,12,197467,above,1
269,10,9,197817,above,1
270,12,17,198064,above,1
271,9,5,198184,above,1
272,9,6,198200,above,1
273,12,19,198517,above,1
274,12,16,198724,above,1
275,7,19,198794,above,1
276,10,10,199039,above,1
277,6,30,199264,above,1
278,9,2,199280,above,1
279,7,11,199289,above,1
280,7,6,199380,above,1
281,10,8,199595,above,1
282,9,7,199818,above,1
283,7,26,199948,above,1
284,7,18,200012,above,1
285,9,3,200157,above,1
286,10,4,200207,above,1
287,8,23,200282,above,1
288,8,2,200341,above,1
289,9,4,200536,above,1
290,7,2,200858,above,1
291,7,1,200879,above,1
292,10,7,200964,above,1
293,10,5,201003,above,1
294,8,9,201111,above,1
295,8,30,201114,above,1
296,7,25,201173,above,1
297,8,24,201408,above,1
298,7,24,201442,above,1
299,7,10,201652,above,1
300,12,28,201768,above,1
301,7,31,201811,above,1
302,7,17,201861,above,1
303,8,16,201912,above,1
304,10,6,201924,above,1
305,8,31,201946,above,1
306,7,20,202302,above,1
307,8,22,202354,above,1
308,8,29,202480,above,1
309,8,3,202610,above,1
310,10,3,202695,above,1
311,8,1,202720,above,1
312,7,27,202810,above,1
313,9,13,202955,above,1
314,8,17,202996,above,1
315,7,9,203016,above,1
316,8,13,203052,above,1
317,8,21,203288,above,1
318,8,7,203307,above,1
319,8,10,203335,above,1
320,7,21,203494,above,1
321,8,4,203518,above,1
322,7,23,203691,above,1
323,7,16,203710,above,1
324,8,14,203870,above,1
325,8,28,203991,above,1
326,7,30,204049,above,1
327,10,2,204145,above,1
328,8,11,204169,above,1
329,7,14,204240,above,1
330,8,15,204260,above,1
331,8,25,204307,above,1
332,8,5,204320,above,1
333,8,6,204437,above,1
334,12,29,204806,above,1
335,8,27,204988,above,1
336,7,28,205341,above,1
337,7,22,205427,above,1
338,7,15,205605,above,1
339,8,20,205644,above,1
340,8,18,205920,above,1
341,7,29,206076,above,1
342,9,11,206078,above,1
343,8,19,206136,above,1
344,7,7,206137,above,1
345,8,8,206143,above,1
346,7,8,206392,above,1
347,9,12,206433,above,1
348,9,8,206619,above,1
349,10,1,206693,above,1
350,8,26,206700,above,1
351,9,28,206738,above,1
352,12,30,206894,above,1
353,8,12,207105,above,1
354,9,27,207606,above,1
355,9,14,208171,above,1
356,9,10,208580,above,1
357,9,29,208753,above,1
358,9,30,208991,above,1
359,9,25,209600,above,1
360,9,18,209867,above,1
361,9,20,209931,above,1
362,9,26,210026,above,1
363,9,15,210214,above,1
364,9,19,210460,above,1
365,9,9,210536,above,1
366,9,21,210876,above,1
367,9,17,211263,above,1
368,9,24,211362,above,1
369,9,22,212673,above,1
370,9,23,212817,above,1
371,9,16,212915,above,1
